朝代;年;月;公历年;季;衙门;官职;官职简写;官员;品级;身份;名;又名;民族;旗分;旗分（或）;爵位;科举;科举（其他）
康熙;五十二;五;1713;2;刑部;刑部侍郎;侍郎;侍郎;正二;;瓦尔达;瓦尔答;满洲;正蓝;;;;
康熙;五十五;闰三;1716;1;刑部;刑部侍郎;侍郎;侍郎;正二;;玛金泰;马进泰;满洲;镶白;;;;
雍正;三;十;1725;3;刑部;刑部侍郎;侍郎;侍郎;正二;;武格;五格;满洲;正蓝;;;;
雍正;六;;1728;;刑部;刑部侍郎;侍郎;侍郎;正二;;王朝恩;;汉军;镶黄;;;;
雍正;十二;;1734;;刑部;刑部侍郎;侍郎;侍郎;正二;;申珠浑;;满洲;镶红;;;;
雍正;十三;;1735;;刑部;刑部侍郎;侍郎;侍郎;正二;;葛森;噶森;满洲;正蓝;;;;
乾隆;三;六;1783;2;刑部;刑部侍郎;侍郎;侍郎;正二;觉罗;吴拜;武拜;满洲;正红;镶红;;;
乾隆;七;一;1742;4;刑部;刑部侍郎;侍郎;侍郎;正二;;兆惠;;满洲;正黄;;;;
乾隆;九;十一;1744;4;刑部;刑部侍郎;侍郎;侍郎;正二;;托时;;满洲;正黄;;;;
乾隆;十一;九;1746;3;刑部;刑部侍郎;侍郎;侍郎;正二;;介福;;满洲;镶黄;;;;
乾隆;十三;闰七;1748;2;刑部;刑部侍郎;侍郎;侍郎;正二;;钟音;;满洲;镶蓝;;;;
乾隆;十七;一;1752;4;刑部;刑部侍郎;侍郎;侍郎;正二;;富森;;满洲;镶黄;;;;
乾隆;十八;;1753;;刑部;刑部侍郎;侍郎;侍郎;正二;;吴达善;;满洲;正红;;;;
乾隆;十八;十;1753;3;刑部;刑部侍郎;侍郎;侍郎;正二;;苏章阿;;蒙古;正黄;;;;
乾隆;十九;;1754;;刑部;刑部侍郎;侍郎;侍郎;正二;觉罗;吴拜;武拜;满洲;正红;;;;
乾隆;二十三;;1758;;刑部;刑部侍郎;侍郎;侍郎;正二;;石柱;;满洲;正红;;;;
乾隆;二十三;四;1758;1;刑部;刑部侍郎;侍郎;侍郎;正二;;伊禄顺;;满洲;正白;;;;
乾隆;二十四;;1759;;刑部;刑部侍郎;侍郎;侍郎;正二;;温敏;;满洲;正蓝;;;;
乾隆;二十五;七;1760;2;刑部;刑部侍郎;侍郎;侍郎;正二;;朝铨;;满洲;镶黄;;;;
乾隆;三十八;二;1773;1;刑部;刑部侍郎;侍郎;侍郎;正二;;喀尔崇义;;满洲;镶白;;;;
乾隆;四十五;四;1780;1;刑部;刑部侍郎;侍郎;侍郎;正二;;荣柱;;满洲;正白;;;;
乾隆;五十四;二;1789;1;刑部;刑部侍郎;侍郎;侍郎;正二;宗室;僧保住;;满洲;正蓝;;;;
乾隆;五十六;十一;1791;4;刑部;刑部侍郎;侍郎;侍郎;正二;觉罗;巴延三;;满洲;;;;;
乾隆;五十七;九;1792;3;刑部;刑部侍郎;侍郎;侍郎;正二;宗室;宜兴;;满洲;镶红;;;;
乾隆;五十九;十一;1794;4;刑部;刑部侍郎;侍郎;侍郎;正二;;傅森;;满洲;镶黄;;;监生;
嘉庆;二;一;1797;4;刑部;刑部侍郎;侍郎;侍郎;正二;;德瑛;;满洲;镶黄;;;笔帖式;护军补笔帖式
嘉庆;五;十;1800;3;刑部;刑部侍郎;侍郎;侍郎;正二;;庚音;永龄;满洲;正黄;;;亲军;
嘉庆;七;一;1802;4;刑部;刑部侍郎;侍郎;侍郎;正二;;继善;;满洲;正蓝;;;生员;廪生
