朝代;年;月;公历年;季;衙门;官职;官职简写;官员;品级;身份;名;又名;民族;旗分;旗分（或）;爵位;科举;科举（其他）
光绪;十;三;1884;1;奉天府;奉天府府尹;府尹;府尹;正三;;裕长;;满洲;正白;;;监生;
光绪;十五;七;1889;2;奉天府;奉天府府尹;府尹;府尹;正三;;兴升;;满洲;正蓝;;;生员;
光绪;二十一;闰五;1895;2;奉天府;奉天府府尹;府尹;府尹;正三;;松林;;满洲;镶蓝;;;监生;
光绪;二十三;六;1897;2;奉天府;奉天府府尹;府尹;府尹;正三;;廷杰;;满洲;正白;;;进士;
光绪;二十九;十;1903;3;奉天府;奉天府府尹;府尹;府尹;正三;;廷杰;;满洲;正白;;;进士;
道光;二十七;;1847;;将军衙门;盛京将军;将军;将军;从一;;广林;;蒙古;正黄;;;进士;
咸丰;十;八;1860;3;将军衙门;盛京将军;将军;将军;从一;;倭仁;;蒙古;正红;;;进士;
同治;三;五;1864;2;将军衙门;盛京将军;将军;将军;从一;;宝珣;;满洲;镶黄;;;进士;
同治;十;;1871;;将军衙门;盛京将军;将军;将军;从一;宗室;瑞联;;满洲;正黄;;;进士;
光绪;一;;1875;;将军衙门;盛京将军;将军;将军;从一;;崇实;;满洲;镶黄;;;进士;
光绪;二十五;;1899;;将军衙门;盛京将军;将军;将军;从一;;裕长;;满洲;正白;;;监生;
光绪;二十五;;1899;;将军衙门;盛京将军;将军;将军;从一;;文兴;;蒙古;正蓝;;;监生;
光绪;三十一;;1905;;将军衙门;盛京将军;将军;将军;从一;;廷杰;;满洲;正白;;;进士;
顺治;六;;1649;;将军衙门;乌拉宁古塔将军衙门;阿达哈哈番;阿达哈哈番;从一;;喀尔喀;;满洲;正白;;;进士;
光绪;三;;1877;;将军衙门;吉林将军;将军;将军;从一;;铭安;;满洲;镶黄;;;进士;
光绪;五;;1879;;将军衙门;吉林将军;将军;将军;从一;;铭安;;满洲;镶黄;;;进士;
光绪;二十二;;1896;;将军衙门;吉林将军;将军;将军;从一;;延茂;;汉军;正白;;;进士;
光绪;二十四;;1898;;将军衙门;吉林将军;将军;将军;从一;;延茂;;汉军;正白;;;进士;
光绪;二十六;;1900;;将军衙门;黑龙江将军;将军;将军;从一;;延茂;;汉军;正白;心;;进士;
乾隆;三十一;;1766;;户部;户部侍郎;侍郎;侍郎;正二;;瓦尔达;;满洲;正黄;;;进士;
乾隆;三十八;八;1773;3;户部;户部侍郎;侍郎;侍郎;正二;;德风;;满洲;正白;;;进士;
乾隆;四十三;十一;1778;4;户部;户部侍郎;侍郎;侍郎;正二;;全魁;;满洲;镶白;;;进士;
嘉庆;五;二;1800;1;户部;户部侍郎;侍郎;侍郎;正二;;成书;;满洲;镶白;;;进士;
嘉庆;六;一;1801;4;户部;户部侍郎;侍郎;侍郎;正二;;德文;;满洲;正白;;;进士;
嘉庆;十;八;1805;3;户部;户部侍郎;侍郎;侍郎;正二;;荣麟;;满洲;正蓝;;;进士;
嘉庆;十四;十二;1809;4;户部;户部侍郎;侍郎;侍郎;正二;;马慧裕;;汉军;正黄;;;进士;
嘉庆;十五;八;1810;3;户部;户部侍郎;侍郎;侍郎;正二;;萨彬图;;满洲;镶白;;;进士;
嘉庆;十九;十一;1814;4;户部;户部侍郎;侍郎;侍郎;正二;;德文;;满洲;正白;;;进士;
道光;八;九;1828;3;户部;户部侍郎;侍郎;侍郎;正二;;多山;;蒙古;正蓝;;;进士;
道光;十九;三;1839;1;户部;户部侍郎;侍郎;侍郎;正二;宗室;德诚;;满洲;镶蓝;;;进士;
咸丰;六;七;1856;2;户部;户部侍郎;侍郎;侍郎;正二;;富呢雅杭阿;;蒙古;镶红;;;进士;
咸丰;七;十一;1857;4;户部;户部侍郎;侍郎;侍郎;正二;;倭仁;;蒙古;正红;;;进士;
咸丰;十一;十;1861;3;户部;户部侍郎;侍郎;侍郎;正二;宗室;和润;;满洲;镶蓝;;;进士;
同治;二;十二;1863;4;户部;户部侍郎;侍郎;侍郎;正二;;宝珣;;满洲;镶黄;;;进士;
同治;四;;1865;;户部;户部侍郎;侍郎;侍郎;正二;;志和;;满洲;正蓝;;;进士;
