季节;朝代;年;公历年;季;衙门;官职;官职简写;官员;品级;身份;名;民族;旗分;爵位;科举
春;光绪;二十五;1899;1;副都统;吉林副都统;副都统;镇守吉林地方副都统;从二;;成勳;汉军;正黄;;
春;光绪;二十五;1899;1;副都统;呼兰副都统;副都统;镇守呼兰贝尔副都统;从二;;依兴阿;满洲;;;
秋;光绪;二十六;1900;3;副都统;吉林副都统;副都统;镇守吉林地方副都统;从二;;成勳;汉军;正黄;;
秋;光绪;二十六;1900;3;副都统;呼兰副都统;副都统;镇守呼兰贝尔副都统;从二;;依兴阿;满洲;;;
冬;光绪;二十七;1901;4;副都统;吉林副都统;副都统;镇守吉林地方副都统;从二;;成勳;汉军;正黄;;
冬;光绪;二十七;1901;4;副都统;宁古塔副都统;副都统;镇守宁古塔地方副都统;从二;;全福;满洲;正蓝;;
冬;光绪;二十七;1901;4;副都统;呼兰副都统;副都统;镇守呼兰贝尔副都统;从二;;依兴阿;满洲;;;
冬;光绪;二十七;1901;4;副都统;布哈特副都统;副都统;镇守布特哈副都统;从二;;双福;;;;
夏;光绪;二十八;1902;2;副都统;吉林副都统;副都统;镇守吉林地方副都统;从二;;成勳;汉军;正黄;;
夏;光绪;二十八;1902;2;副都统;宁古塔副都统;副都统;镇守宁古塔地方副都统;从二;;全福;满洲;正蓝;;
夏;光绪;二十八;1902;2;副都统;呼兰副都统;副都统;镇守呼兰贝尔副都统;从二;;依兴阿;满洲;;;
夏;光绪;二十八;1902;2;副都统;布特哈副都统;副都统;镇守黑龙江布特哈等处副都统;从二;;双福;;;;
春;光绪;二十九;1903;1;副都统;吉林副都统;副都统;镇守吉林地方副都统;从二;;成勳;汉军;正黄;;
春;光绪;二十九;1903;1;副都统;呼兰副都统;副都统;镇守呼兰贝尔副都统;从二;;依兴阿;满洲;;;
春;光绪;二十九;1903;1;副都统;布哈特副都统;副都统;镇守布特哈副都统;从二;;双福;;;;
夏;光绪;三十;1904;2;副都统;吉林副都统;副都统;镇守吉林地方副都统;从二;;成勳;汉军;正黄;;
夏;光绪;三十;1904;2;副都统;呼兰副都统;副都统;镇守呼兰贝尔副都统;从二;;依兴阿;满洲;;;
夏;光绪;三十;1904;2;副都统;布哈特副都统;副都统;镇守布特哈副都统;从二;;双福;;;;
夏;光绪;三十一;1905;2;副都统;吉林副都统;副都统;镇守吉林地方副都统;从二;;成勳;汉军;正黄;;
夏;光绪;三十一;1905;2;副都统;珲春副都统;副都统;镇守珲春地方副都统;从二;;恒春;;;;
夏;光绪;三十一;1905;2;副都统;黑龙江副都统;副都统;镇守黑龙江等处副都统;从二;;春山;;;;
夏;光绪;三十一;1905;2;副都统;呼兰副都统;副都统;镇守呼兰贝尔副都统;从二;;依兴阿;满洲;;;
夏;光绪;三十一;1905;2;副都统;布哈特副都统;副都统;镇守布特哈副都统;从二;;双福;;;;
